id;firstname;lastname;title;sex;country;birthdate;deathdate;birthplace;deathplace
878;Josef, II;Kühn;\N;M;DE;1872-00-00;1933-07-27;Mannheim;Munich
879;Antonina;Sofronova;\N;F;RU;1892-00-00;1966-00-00;Droskovo;Moscow
880;Erich;Kuithan;\N;M;DE;1875-10-24;1917-12-30;Bielefeld;Jena
881;Eva;Kusch;\N;F;\N;\N;\N;\N;\N
882;Lodewijk;Schelfhout;\N;M;NL;1881-00-00;1943-00-00;\N;\N
883;Eva;Kusch;\N;F;\N;\N;\N;\N;\N
884;Wilhelm;Laage;\N;M;DE;1868-00-00;1930-00-00;Stellingen;Reutlingen
885;L.G.;Turchenko;\N;\N;\N;\N;\N;\N;\N
886;Georg;Lebrecht;\N;M;DE;1875-00-00;1945-00-00;Świdnica;Berlin
887;Fritz;Lederer;\N;M;CZ;1878-00-00;1949-00-00;Kynšperk nad Ohři;Cheb
888;Wilhelm;Legler;\N;M;AT;1875-04-03;1951-04-28;Pazin;Angern
889;Wilhelm;Mann;\N;M;DE;1882-00-00;1957-00-00;Altona;\N
890;Ewald;Manz;\N;M;DE;1886-07-27;1960-10-16;Hanover;Halle
891;Hans;Meid;\N;M;DE;1883-00-00;1957-00-00;Pforzheim;Ludwigsburg
892;Wolfgang;Merkel;\N;M;DE;1883-00-00;1918-00-00;Rostock;Solve le Chateau
893;Bruno;Mewes;\N;M;\N;1886-00-00;\N;\N;\N
894;Otto;Mewes;\N;M;\N;\N;\N;\N;\N
895;Friedrich;Missfeldt;\N;M;DE;1874-00-00;1969-00-00;Kiel;Schleswig
896;Otto;Modersohn;\N;M;DE;1865-00-00;1943-00-00;Soest;Fischerhude
897;Otto;Moller;\N;M;DE;1883-00-00;1964-00-00;Schmiedefeld (Lichtetal);Berlin
898;Hans;Nadler;\N;M;DE;1879-00-00;1958-00-00;Elsterwerda;Gröden (Brandenburg)
899;Paul;Neresheimer;\N;M;NL;1885-00-00;1933-00-00;Amsterdam;Munich
900;Max;Neumann;\N;M;DE;1885-00-00;1973-00-00;Königsberg;Berlin
901;Franz;Nölken;\N;M;DE;1884-00-00;1918-00-00;Hamburg;La Capelle
902;Ernst Benedikt;Noether;\N;M;DE;1864-00-00;1939-00-00;Mannheim;Mannheim
903;Paul;Oberhoff;\N;M;DE;1884-09-16;1960-04-23;Iserlohn;Dresden
904;Ernst;Odefey;\N;M;DE;1882-00-00;1964-00-00;Hamburg;Hamburg
905;Emil;Orlik;\N;M;CZ;1870-00-00;1932-00-00;Prague;Berlin
906;Heinrich;Otto;\N;M;DE;1858-00-00;1923-00-00;Wernswig;Dusseldorf
907;Alfred;Partikel;\N;M;DE;1888-00-00;1946-00-00;Gołdap;Ahrenshoop
908;Paul;Paeschke;\N;M;DE;1875-00-00;1943-00-00;Berlin;Berlin
909;Georg;Poppe;\N;M;DE;1883-00-00;1963-00-00;Wartha (Niederschlesien, Region);Frankfurt am Main
910;Max;Pretzfelder;\N;M;DE;1888-00-00;1950-00-00;Nuremberg;Los Angeles
911;Max;Rappaport;\N;M;\N;1884-00-00;1924-07-30;Vienna;Berlin
912;Martha;Reich;\N;F;DE;\N;\N;\N;\N
913;Fritz;Rentsch;\N;M;DE;1867-04-17;1946-12-26;Dresden;Naumburg
914;Heinrich;Richter-Berlin;\N;M;DE;1884-04-23;1981-01-26;Berlin;Berlin
915;Paul;Rößler;\N;M;DE;1873-00-00;1957-00-00;Leipzig;Heidelberg
916;Georg Walter;Rossner;\N;M;DE;1885-00-00;1972-00-00;Leipzig;Gundelsby
917;Edwin;Scharff;\N;M;DE;1887-00-00;1955-00-00;Neu-Ulm;Hamburg
918;Rudolph;Scheffler;\N;M;DE;1884-00-00;1973-00-00;Zwickau;Old Lyme
919;Fritz;Scherer;\N;M;DE;1877-00-00;1929-00-00;Freiburg im Breisgau;Munich
920;Walter;Schimmelpfeng;\N;M;\N;\N;\N;\N;\N
921;Theodor;Schindler;\N;M;DE;1870-04-01;1950-06-26;Malsch;Malsch
922;Adolf;Schinnerer;\N;M;DE;1876-00-00;1949-00-00;Schwarzenbach an der Saale;Haimhausen
923;Paul von;Schlippenbach;\N;M;DE;1869-00-00;1933-00-00;Olaine;Berlin
924;Hermann;Schlittgen;\N;M;DE;1859-00-00;1930-00-00;Roitzsch;Wasserburg am Inn
925;Alfred;Schmidt;\N;M;DE;1867-00-00;1956-00-00;Dresden;Munich
926;Wilhelm;Schmurr;\N;M;DE;1878-00-00;1959-00-00;Hagen;Dusseldorf
927;Wilhelm;Schocken;\N;M;DE;1874-00-00;1958-00-00;Pleszew;Tel Aviv-Jaffa
928;Martha;Schrag;\N;F;DE;1870-08-29;1957-02-10;Borna;Chemnitz
929;Lili;Schüller;\N;F;AT;1888-00-00;1971-00-00;\N;\N
930;Karl;Schwalbach;\N;M;DE;1885-00-00;1983-00-00;Mainz;Munich
931;Rudolf;Sieck;\N;M;DE;1877-00-00;1957-00-00;Rosenheim;Prien am Chiemsee
932;Rudolf;Siegmund;\N;M;DE;1881-04-16;1973-11-17;Bürgel;Idstein
933;Alexander Leo;Soldenhoff;\N;M;CH;1882-00-00;1951-00-00;Geneva;Zurich
934;William;Straube;\N;M;DE;1871-00-00;1954-00-00;Berlin;Neufrach
935;Hans;Sutter;\N;M;DE;1887-00-00;1916-00-00;Mainz;Maurepas, Somme
936;Max;Thedy;\N;M;DE;1858-00-00;1924-00-00;Munich;Polling bei Weilheim
937;Heinrich;Uhl;\N;M;DE;1882-00-00;1915-00-00;Altenteich;Russia
938;Hans;Unger;\N;M;DE;1872-00-00;1936-00-00;Bautzen;Dresden
939;Giuseppe;Sacheri;\N;M;IT;1863-00-00;1950-00-00;Genoa;Pianfei
940;Julien-Gustave;Gagliardini;\N;M;FR;1846-00-00;1927-00-00;Mulhouse;Paris
941;Julius;Rolshoven;\N;M;US;1858-00-00;1930-00-00;Detroit;New York
942;Carlotta;Sacchetti;\N;F;IT;1862-00-00;1934-00-00;Pavia;Milan
943;Luigi;Rosa;\N;M;IT;1850-00-00;1919-00-00;Venice;Rome
944;Luigi;Serralunga;\N;M;IT;1880-00-00;1940-00-00;Turin;Turin
945;Giorgio;Lucchesi;\N;M;IT;1855-00-00;1941-00-00;Lucca;Lucca
946;Paul;Vahrenhorst;\N;M;DE;1880-00-00;1951-00-00;Kuldīga;Maising
947;Anita;Perna;\N;F;\N;\N;\N;\N;\N
948;Hans;Völcker;\N;M;DE;1865-00-00;1944-00-00;Pyrzyce;Wiesbaden
949;Erwin;Vollmer;\N;M;DE;1884-00-00;1973-00-00;Berlin;Rehlingen
950;Evarist Adam;Weber;\N;M;DE;1887-00-00;1968-00-00;Aachen;Dießen am Ammersee
951;Franz;Weih;\N;M;DE;1877-00-00;\N;Baden-Baden;\N
952;Kurt;Witte;\N;M;DE;1882-00-00;1959-00-00;Schlüsselburg;Hanover
953;Karl;Wohlrab;\N;M;DE;1873-00-00;1959-00-00;Leipzig;Lugano
954;Sophie;Wolff;\N;F;DE;1845-00-00;1944-00-00;Berlin;Berlin
955;Hermann;Zeillinger;\N;M;AT;1882-00-00;1933-00-00;Straß in Steiermark;\N
956;Walter;Zeising;\N;M;DE;1876-00-00;1933-00-00;Leipzig;Dresden
957;Leni;Zimmermann-Heitmüller;\N;F;DE;1879-00-00;\N;Stettin;Hanover
958;Charles;Fayod;\N;M;CH;1857-00-00;1932-00-00;Bex;Lausanne
959;Giovanni Battista;Carpanetto;\N;M;IT;1863-00-00;1928-00-00;Turin;Turin
960;Violetta;Dunn Gardner;\N;F;\N;\N;\N;\N;\N
961;Giuseppe;Boschetto;\N;M;IT;1841-00-00;1918-00-00;Naples;Naples
962;Antonio;Grinzato;\N;M;\N;\N;\N;\N;\N
963;Giuseppe;Mazzei;\N;M;IT;1867-00-00;1944-00-00;Portoferraio;Rijeka
964;Vincenzo;Irolli;\N;M;IT;1860-00-00;1945-00-00;Naples;Naples
965;Luigi;Bocca;\N;M;IT;1872-00-00;1930-00-00;Vigevano;Vigevano
966;Ferdinando-Giuseppe;Piana;\N;M;IT;1864-00-00;1956-00-00;Ceriana;Bordighera
967;Giannino;Castiglioni;\N;M;IT;1884-00-00;1971-00-00;Milan;Lierna
968;Napoleone;Gradi;\N;M;IT;1860-00-00;1949-00-00;Santa Cristina e Bissone;Brusimpiano
969;Roberto;Fontana;\N;M;IT;1844-00-00;1907-00-00;Milan;Milan
970;Carlo;Vittori;\N;M;IT;1881-00-00;1943-00-00;Cremona;Cremona
971;Giuseppe;Omio;\N;M;IT;1881-00-00;1918-00-00;Lovere;Milan
972;Rudolf;Möller;\N;M;DE;1881-00-00;1967-00-00;Schmiedefeld (Lichtetal);Lörrach
973;Salvatore;Marchesi;\N;M;IT;1852-00-00;1926-00-00;Parma;Parma
974;Federico;Maragliano;\N;M;IT;1873-00-00;1952-00-00;Genoa;Genoa
975;Andrea Nicolò;Brentan;\N;M;\N;\N;\N;\N;\N
976;Alfred;Smith;\N;M;FR;1853-00-00;1942-00-00;Bordeaux;Bordeaux
977;Filadelfo;Simi;\N;M;IT;1849-00-00;1923-00-00;Stazzema;Florence
978;Raffaele;Armenise;\N;M;IT;1852-00-00;1925-00-00;Bari;Milan
979;Oreste;Da Moli;\N;F;IT;1856-00-00;1921-00-00;Piove di Sacco;Piove di Sacco
980;Maria;Tansini;\N;F;\N;\N;\N;\N;\N
981;Luigi de;Servi;\N;M;IT;1863-00-00;1945-00-00;Lucca;Lucca
982;Riccardo;Galli;\N;M;IT;1839-00-00;1914-00-00;Nice;\N
983;Ottmar;Begas;\N;M;DE;1878-05-10;1931-06-16;Rome;Naples
984;Franz Theodor;Aerni;\N;M;CH;1853-00-00;1918-00-00;Aarburg;Aarburg
985;Emilio;Mazzoni Zarini;\N;M;IT;1869-00-00;1949-00-00;Florence;Florence
986;Carlo;Arpini;\N;M;IT;1866-00-00;1922-00-00;Ancona;Monza
987;Antonio;Barzaghi-Cattaneo;\N;M;CH;1834-00-00;1922-00-00;Lugano;Lugano
988;Giulio;Genovese;\N;M;IT;\N;1928-00-00;Venice;\N
989;Théobald;Chartran;\N;M;FR;1849-00-00;1907-00-00;Besançon;Neuilly-sur-Seine
990;Giuseppe;Pennasilico;\N;M;IT;1861-00-00;1940-00-00;Naples;Geneva
991;Giovanni;Cavalli;\N;M;IT;1865-00-00;1932-00-00;Novara;Turin
992;Antonio;Baronio;\N;M;IT;1850-00-00;1920-00-00;Vogogna;Vogogna
993;Baldassare;Longoni;\N;M;IT;1876-00-00;1956-00-00;Dizzasco;Como
994;Ruggero;Focardi;\N;M;IT;1864-00-00;1934-00-00;Florence;Quercianella
995;Felice;Zanelli;\N;M;\N;\N;\N;\N;\N
996;Antonio;Rocchetti-Torres;\N;M;IT;1851-00-00;1934-00-00;Palermo;Palermo
997;Ponziano;Loverini;\N;M;IT;1845-00-00;1929-00-00;Gandino;Gandino
998;Cesare;Ciani;\N;M;IT;1854-00-00;1925-00-00;Florence;Florence
999;Giovanni;Fattori;\N;M;IT;1825-00-00;1908-00-00;Livorno;Florence
1000;Italo;Nunes-Vais;\N;M;IT;1860-00-00;1932-00-00;Tunis;Florence
1001;Tomaso;Baldini;\N;M;IT;1870-00-00;1925-00-00;Florence;Pescia
1002;Angelo;Torchi;\N;M;IT;1856-00-00;1915-00-00;Massa Lombarda;Massa Lombarda
1003;Egisto;Ferroni;\N;M;IT;1835-00-00;1912-00-00;Signa;Florence
1004;Raffaello;Gambogi;\N;M;IT;1874-00-00;1943-00-00;Livorno;Livorno
1005;Francesco;Gioli;\N;M;IT;1846-00-00;1922-00-00;San Frediano a Settimo;Florence
1006;Luigi;Gioli;\N;M;IT;1854-00-00;1947-00-00;San Frediano a Settimo;Florence
1007;Niccolo;Cannicci;\N;M;IT;1846-00-00;1906-00-00;Florence;Florence
1008;Mario;Borgoni;\N;M;IT;1869-00-00;1936-00-00;Pesaro;Naples
1009;Nicolas de;Corsi;\N;M;IT;1882-00-00;1956-00-00;Odessa;Naples
1010;Ulrico;Pistilli;\N;M;IT;1854-00-00;1950-00-00;Naples;\N
1011;Giuseppe de;Sanctis;\N;M;IT;1858-00-00;1924-00-00;Naples;Naples
1012;Attilio;Pratella;\N;M;IT;1856-00-00;1949-00-00;Lugo, Emilia-Romagna;Naples
1013;Vincenzo;Caprile;\N;M;IT;1856-00-00;1936-00-00;Naples;Naples
1014;Eduardo;Galli;\N;M;IT;1854-00-00;1920-00-00;Naples;\N
1015;Stefano;Farneti;\N;M;IT;1855-00-00;1926-00-00;Pisa;Naples
1016;Carlo Adolfo;Barone;\N;M;IT;1861-00-00;1936-00-00;Naples;\N
1017;Gaetano de;Martini;\N;M;IT;1840-00-00;1917-00-00;Benevento;Naples
1018;Andrea;Petroni;\N;M;IT;1863-00-00;1943-00-00;Venosa;Rome
1019;Paolo;Vetri;\N;M;IT;1855-00-00;1937-00-00;Castrogiovanni;Naples
1020;Eduardo;Monteforte;\N;M;IT;1849-00-00;1933-00-00;Polla;Naples
1021;Giuseppe;Casciaro;\N;M;IT;1863-00-00;1945-00-00;Ortelle;Naples
1022;Vincenzo;Migliaro;\N;M;IT;1858-00-00;1938-00-00;Naples;Naples
1023;Nicola;Biondi;\N;M;IT;1866-00-00;1929-00-00;Capua;Naples
1024;Eugenio;Buono;\N;M;IT;1863-00-00;1954-00-00;Naples;Naples
1025;Giovanni Battista;Costantini;\N;M;IT;1872-00-00;1947-00-00;Rome;Rome
1026;Arturo;Noci;\N;M;IT;1874-00-00;1953-00-00;Rome;New York
1027;Umberto;Coromaldi;\N;M;IT;1870-00-00;1948-00-00;Rome;Rome
1028;Giuseppe;Raggio;\N;M;IT;1823-00-00;1916-00-00;Chiavari;Rome
1029;Alessandro;Poma;\N;M;IT;1874-00-00;1960-00-00;Biella;Courmayeur
1030;Giulio Aristide;Sartorio;\N;M;IT;1860-00-00;1932-00-00;Rome;Rome
1031;Camillo;Innocenti;\N;M;IT;1871-00-00;1961-00-00;Rome;Rome
1032;Raffaele;Tafuri;\N;M;IT;1857-00-00;1929-00-00;Salerno;Venice
1033;Francesco;Sartorelli;\N;M;IT;1856-00-00;1939-00-00;Cornuda;Udine
1034;Sylvius D.;Paoletti;\N;M;IT;1864-00-00;1921-00-00;Venice;Venice
1035;Cesare;Vianello;\N;M;IT;1803-00-00;1894-00-00;Venice;Venice
1036;Luigi;Nono;\N;M;IT;1850-00-00;1918-00-00;Fusine;Venice
1037;Emanuele;Brugnoli;\N;M;IT;1859-00-00;1944-00-00;Bologna;Venice
1038;Roberto;Ferruzzi;\N;M;IT;1853-00-00;1934-00-00;Šibenik;Venice
1039;Eugen von;Blaas;\N;M;IT;1843-00-00;1931-00-00;Albano Laziale;Venice
1040;Egisto;Lancerotto;\N;M;IT;1847-00-00;1916-00-00;Noale;Venice
1041;Giuseppe;Zanetti-Miti;\N;M;IT;1859-00-00;1929-00-00;Modena;Milan
1042;Pietro Bianco;Bortoluzzi;\N;M;IT;1875-00-00;1937-00-00;Trieste;Bologna
1043;Pietro;Fragiacomo;\N;M;IT;1856-00-00;1922-00-00;Trieste;Venice
1044;Alessandro;Milesi;\N;M;IT;1856-00-00;1945-00-00;Venice;Venice
1045;Traiano;Chitarin;\N;M;IT;1864-00-00;1935-00-00;Venice;Venice
1046;Cesare;Laurenti;\N;M;IT;1854-00-00;1936-00-00;Mesola;Venice
1047;Bartolomeo;Bezzi;\N;M;IT;1851-00-00;1923-00-00;Fucine;Cles
1048;Domenico;Someda;\N;M;IT;1859-00-00;1944-00-00;Rivolto;Udine
1049;Domenico;Quattrociocchi;\N;M;IT;1872-00-00;1941-00-00;Bagheria;Rome
1050;Carlo;Ferrari;\N;M;IT;1813-00-00;1871-00-00;Verona;Verona
1051;Enrico;Nardi;\N;M;IT;1864-00-00;1947-00-00;Rome;Rome
1052;Silvio;Galimberti;\N;M;IT;1878-00-00;1956-00-00;Rome;Rome
1053;Filiberto;Petiti;\N;M;IT;1845-00-00;1924-00-00;Turin;Rome
1054;Pietro;Monaster;\N;M;IT;\N;\N;\N;\N
1055;Alessandro;Battaglia;\N;M;IT;1870-00-00;1940-00-00;Rome;Rome
1056;Dante;Ricci;\N;M;IT;1879-00-00;1957-00-00;Serra San Quirico;Rome
1057;Damaso;Bianchi;\N;M;IT;1861-00-00;1935-00-00;Bari;Bari
1058;José;Echena;\N;M;ES;1844-00-00;1912-00-00;Hondarribia;Rome
1059;Giovanni;Sacchetto;\N;M;IT;1867-00-00;1921-00-00;Padua;Padua
1060;Emilio;Rizzi;\N;M;IT;1881-00-00;1952-00-00;Cremona;Brescia
1061;Corinna;Modigliani;\N;F;IT;1871-00-00;1959-00-00;Rome;Rome
1062;Roberto;Bompiani;\N;M;IT;1821-00-00;1908-00-00;Rome;Rome
1063;Maurizio;Rava;\N;M;IT;1878-00-00;1941-00-00;Milan;Fromelles
1064;Cesare;Tiratelli;\N;M;IT;1864-00-00;1933-00-00;Rome;Rome
1065;Amedeo Momo;Simonetti;\N;M;IT;1874-00-00;1922-00-00;Rome;Rome
1066;Gustavo;De Rossi;\N;M;IT;1876-00-00;1945-00-00;Livorno;Livorno
1067;Giovanni;Vianello;\N;M;IT;1873-00-00;1926-00-00;Padua;Padua
1068;Angelo;Giove;\N;M;IT;\N;\N;\N;\N
1069;Ezechiele;Acerbi;\N;M;IT;1850-00-00;1920-00-00;Pavia;Pavia
1070;Giuseppe;Duodo;\N;M;IT;1877-00-00;1955-00-00;Venice;\N
1071;Tito;Lessi;\N;M;IT;1858-00-00;1917-00-00;Florence;Florence
1072;Francesco;Giancotti;\N;M;IT;1878-00-00;1940-00-00;\N;\N
1073;Cesare Agostino;Detti;\N;M;IT;1847-00-00;1914-00-00;Spoleto;Paris
1074;Guido;Di Montezemolo;\N;M;IT;1878-00-00;1941-00-00;Mondovì;Turin
1075;Guido;Grimani;\N;M;IT;1871-00-00;1933-00-00;Trieste;Trieste
1076;Lorenzo;Cecconi;\N;M;IT;1863-00-00;1947-04-00;Rome;Rome
1077;Francesco;Vismara;\N;M;IT;1850-00-00;1906-00-00;Milan;\N
1078;Alfredo;D'Andrade;\N;M;\N;1839-00-00;1915-00-00;Lisbon;Genoa
1079;Guillaume;Dubufe;\N;M;FR;1853-00-00;1909-00-00;Paris;Buenos Aires
1080;Enric;Serra Auqué;\N;M;IT;1859-00-00;1918-00-00;Barcelona;Rome
1081;Cesare;Saccaggi;\N;M;IT;1868-00-00;1934-00-00;Tortona;Tortona
1082;Ernesto;Serra;\N;M;IT;1860-00-00;1915-00-00;Varallo;Turin
1083;Camillo;Totonelli;\N;M;\N;\N;\N;\N;\N
1084;Domenico;Miserocchi;\N;M;IT;1862-00-00;1917-00-00;Ravenna;Imola
1085;Giovanni;Bevilacqua;\N;M;IT;1871-00-00;1968-00-00;Isola della Scala;Genoa
1086;Alphons;Hollaender;\N;M;DE;1845-00-00;1923-00-00;Ratibor;Florence
1087;Francesco;Quadrelli;\N;M;\N;\N;\N;\N;\N
1088;Marco;Chiodini;\N;M;\N;\N;\N;\N;\N
1089;Enrico;Vizzotto;\N;M;IT;1880-00-00;1976-00-00;Oderzo;Padova
1090;Emilia;Ferrettini Rossotti;\N;F;IT;1866-00-00;1951-00-00;Turin;Turin
1091;Noè;Bordigno;\N;F;IT;1841-00-00;1920-00-00;Castelfranco Veneto;San Zenone degli Ezzelini
1092;Guglielmo;Ciardi;\N;M;IT;1842-00-00;1917-00-00;Venice;Venice
1093;Beppe;Ciardi;\N;M;IT;1875-00-00;1932-00-00;Venice;Quinto di Treviso
1094;Emma;Ciardi;\N;F;IT;1879-00-00;1933-00-00;Venice;Venice
1095;Italico;Brass;\N;M;IT;1870-00-00;1943-00-00;Gorizia;Venice
1096;Umberto;Martina;\N;M;IT;1880-00-00;1945-00-00;Budoia;Tauriano
1097;Mario Leopoldo;Volpi;\N;M;IT;1877-00-00;1918-00-00;Santa Maria Capua Vetere;Mestre
1098;Camillo;Bortoluzzi;\N;M;IT;1868-00-00;1933-00-00;Treviso;Dolo
1099;Zaccaria;Dal Bo';\N;M;IT;1872-00-00;1935-00-00;Venice;Venice
1100;Ferruccio;Scattola;\N;M;IT;1873-00-00;1950-00-00;Venice;Rome
1101;Felice;Castagnaro;\N;M;IT;1872-00-00;1958-00-00;Montebello Vicentino;Zero Branco
1102;Lilla;Zanetti;\N;\N;\N;\N;\N;\N;\N
1103;Lino;Selvatico;\N;M;IT;1872-00-00;1924-00-00;Padua;Treviso
1104;Luigi;Selvatico;\N;M;IT;1873-00-00;1938-00-00;Venice;Roncade
1105;Gugliemo;Talamini;\N;M;IT;1868-00-00;1917-00-00;Vodo di Cadore;Faenza
1106;Giuseppe;Ferrandi;\N;M;\N;\N;\N;\N;\N
1107;Eugenio;Bonivento;\N;M;IT;1880-00-00;1956-00-00;Chioggia;Milan
1108;Odoardo;Gelli;\N;M;IT;1852-00-00;1933-00-00;Savona;Florence
1109;Giuseppe;Barison;\N;M;IT;1853-00-00;1931-00-00;Trieste;Trieste
1110;Albert;Zardo;\N;M;IT;1876-00-00;1959-00-00;Padova;Florence
1111;Vindizio;Nodari Pesenti;\N;M;IT;1879-00-00;1961-00-00;Medole;Mantua
1112;Enrico;Bartezago;\N;M;IT;1820-00-00;1905-00-00;Lugano;Milan
1113;Edoardo;Guazzoni;\N;M;IT;1869-00-00;1946-00-00;Milan;Milan
1114;Gennaro;Favai;\N;M;IT;1879-00-00;1958-00-00;Venice;Venice
1115;Clemente;Pugliese-Levi;\N;M;IT;1855-00-00;1936-00-00;Vercelli;\N
1116;Alberto;Micheli-Pellegrini;\N;M;IT;1870-00-00;1943-00-00;Florence;Florence
1117;Luigi;Monteverde;\N;M;CH;1841-00-00;1923-00-00;Lugano;Lugano
1118;Giuseppe;Carosi;\N;M;IT;1883-00-00;1965-00-00;Rome;Rome
1119;Ercole;Sibellato;\N;M;IT;1878-00-00;1963-00-00;Riviera del Brenta;Venice
1120;Guido;Meineri;\N;M;IT;1869-00-00;1944-00-00;Cuneo;Montese
1121;Guido;Marussig;\N;M;IT;1885-00-00;1938-00-00;Trieste;Gorizia
1122;Alberto;Stringa;\N;M;IT;1880-00-00;1931-00-00;Caprino Veronese;Caprino Veronese
1123;Gaetano;Cresseri;\N;M;IT;1870-00-00;1933-00-00;Brescia;Brescia
1124;Ettore;Tito;\N;M;IT;1859-00-00;1941-00-00;Castellammare di Stabia;Venice
1125;Augusto;Carutti;\N;M;IT;1875-00-00;1956-00-00;Turin;Turin
1126;Eugenio G.;Olivari;\N;M;IT;1862-00-00;1917-00-00;Genoa;Genoa
1127;Achille;Cattaneo;\N;M;\N;1872-00-00;1931-00-00;Milan;Milan
1128;Paolo;Ferretti;\N;M;IT;1866-00-00;1938-00-00;Subiaco;Bologna
1129;Mario;Bezzola;\N;M;IT;1881-00-00;1968-00-00;Milan;Milan
1130;Oreste;Pizio;\N;M;IT;1870-00-00;1938-00-00;Turin;Nole
1131;Raffaello;Sorbi;\N;M;IT;1844-00-00;1931-00-00;Florence;Florence
1132;Carlo;Parmeggiani;\N;M;IT;1881-00-00;1967-00-00;Ferrara;Tradate
1133;Max von;Fichard;\N;M;\N;1836-00-00;1923-00-00;\N;\N
1134;Ettore;Morteo;\N;M;IT;1874-00-00;1939-00-00;Alassio;Genoa
1135;Carlo;Silviero;\N;M;\N;\N;\N;\N;\N
1136;Leonardo;Roda;\N;M;\N;1868-00-00;1933-00-00;Racconigi;Turin
1137;Giuseppe;Grassis;\N;M;IT;1870-00-00;1949-00-00;Turin;Turin
1138;Carlo;Pollonera;\N;M;\N;1849-00-00;1923-00-00;Alexandria;Turin
1139;Enrico;Reycend;\N;M;IT;1855-00-00;1928-00-00;Turin;Turin
1140;Giovanni;Piumati;\N;M;IT;1850-00-00;1915-00-00;Bra;Viù
1141;Marco;Calderini;\N;M;IT;1850-00-00;1941-00-00;Turin;Turin
1142;Ambrogio;Raffaele;\N;M;IT;1845-00-00;1928-00-00;Vigevano;Vigevano
1143;Camillo Filippo;Cabutti;\N;M;\N;1860-00-00;1921-00-00;Bossolasco;Turin
1144;Giuseppe;Bottero;\N;M;IT;1846-00-00;1930-00-00;Asti;Asti
1145;Lodovico;Tommasi;\N;M;IT;1866-00-00;1941-00-00;Livorno;Florence
1146;Galileo;Chini;\N;M;IT;1873-00-00;1956-00-00;Florence;Florence
1147;Giuseppe;Graziosi;\N;M;IT;1879-00-00;1942-00-00;Modena;Florence
1148;Salvino;Tofanari;\N;M;IT;1881-00-00;1969-00-00;\N;\N
1149;Plinio;Nomellini;\N;M;IT;1866-00-00;1943-00-00;Livorno;Florence
1150;Rubens;Santoro;\N;M;IT;1859-00-00;1942-00-00;Mongrassano;Naples
1151;Giovanni;Campriani;\N;M;\N;1878-00-00;\N;Naples;Paris
1152;Romeo;Bonomelli;\N;M;IT;1871-00-00;1943-00-00;Bergamo;Ivi
1153;Umberto;Prencipe;\N;M;IT;1879-00-00;1962-00-00;Naples;Rome
1154;Vittorio;Avanzi;\N;M;IT;1850-00-00;1913-00-00;Verona;Campofontana
1155;Stefano;Bruzzi;\N;M;IT;1835-00-00;1911-00-00;Piacenza;Piacenza
1156;Charlotte;Popert;\N;F;GB;1848-00-00;1918-00-00;Hamburg;Rome
1157;Giuseppe;Danieli;\N;M;\N;1865-00-00;1931-00-00;Venice;Verona
1158;Max;Roeder;\N;M;DE;1866-00-00;1947-00-00;Mönchengladbach;Rome
1159;Thyra af;Kleen;\N;F;SE;1874-00-00;1951-00-00;Stockholm;Lidingö
1160;Magda;Becker;\N;F;\N;\N;\N;\N;\N
1161;Ernestina;Orlandini;\N;F;DE;1869-00-00;1965-00-00;Hanau;Florence
1162;Frieda;Labriola Menshausen;\N;F;DE;1861-00-00;1939-00-00;Stendal;Assisi
1163;Sofia di;Bricherasio;\N;F;IT;1869-00-00;1950-00-00;Turin;San Secondo di Pinerolo
1164;Tilde;Ferrari;\N;F;\N;\N;\N;\N;\N
1165;Maria;Ippoliti;\N;F;\N;1861-00-00;1932-00-00;Udine;Pordenone
1166;Louise;Breslau;\N;F;CH;1856-00-00;1927-00-00;Munich;Neuilly-sur-Seine
1167;Marie;Villedien;\N;F;\N;\N;\N;\N;\N
1168;Ida;Salvagnini Bidoli;\N;F;IT;1866-00-00;1945-00-00;Trieste;Rome
1169;Carla;Celesia di Vegliasco;\N;F;IT;1868-00-00;1939-00-00;Florence;Collesalvetti
1170;Charlotte;Chauchet Guillere;\N;F;FR;1878-00-00;1964-00-00;Charleville;Paris
1171;Julie;Wolfthorn;\N;F;DE;1868-00-00;1944-00-00;Toruń;Terezín
1172;Amalia;Besso;\N;M;IT;1856-00-00;1932-00-00;Trieste;Rome
1173;Selma;Giobel;\N;F;SE;1843-00-00;1925-00-00;Mårsäters;Vadstena
1174;Charles;Doudelet;\N;M;BE;1861-00-00;1938-00-00;Rijsel;Ghent
1175;Giovanni Maria;Mucchi;\N;M;\N;\N;\N;\N;\N
1176;Ettore;Caser;\N;M;US;1880-00-00;1944-00-00;Venice;New York
1177;Moses;Levy;\N;M;IT;1885-00-00;1968-00-00;Tunis;Viareggio
1178;Enrico;Volonterio;\N;M;\N;\N;\N;\N;\N
1179;Giovanni;Galeazzi;\N;M;IT;1870-00-00;1938-00-00;Milan;Milan
1180;Gustavo;Simoni;\N;M;IT;1846-00-00;1926-00-00;Rome;Palestrina
1181;Renzo;Canella;\N;M;\N;\N;\N;\N;\N
1182;Karl;Anderson;\N;M;US;1874-00-00;1956-00-00;Oxford, Ohio;Westport, Connecticut
1183;Paul;Burlin;\N;M;US;1886-00-00;1969-00-00;New York;New York
1184;Daniel Putnam;Brinley;\N;M;US;1879-00-00;1963-00-00;Newport;New Canaan
1185;Edith Woodman;Burroughs;\N;F;US;1871-00-00;1916-00-00;Riverdale;Flushing
